id_i,id_j,distance,race_i,race_j,pair_type,inconsistent_baseline,inconsistent_eo,eo_introduced,eo_resolved,threshold_distance_i,threshold_distance_j
1256,4674,0.22211688016013675,0,1,cross_race,0,0,0,0,0.31146915204242015,0.4871296238950115
4011,5807,0.17048107491278608,0,1,cross_race,0,0,0,0,0.20607720817801145,0.36850499474461157
4011,4355,0.3409621498255721,0,1,cross_race,0,0,0,0,0.20607720817801145,0.34290835182108664
357,3330,0.08524053745639304,1,0,cross_race,0,0,0,0,0.048338762803230684,0.23011981284851735
357,539,0.6385087547867919,1,0,cross_race,0,0,0,0,0.048338762803230684,0.28026374402886933
357,6496,0.8884675206405475,1,0,cross_race,0,0,0,0,0.048338762803230684,0.1231643024083432
357,6806,1.277017509573584,1,0,cross_race,0,0,0,0,0.048338762803230684,0.0
357,1640,1.277017509573584,1,0,cross_race,0,0,0,0,0.048338762803230684,0.0
6644,6736,0.0,0,1,cross_race,0,0,0,0,0.2380039416756093,0.4126888037721031
10,3835,0.0,0,1,cross_race,0,0,0,0,0.09313496674119603,0.26781982883768984
10,3543,0.0,0,1,cross_race,0,0,0,0,0.09313496674119603,0.26781982883768984
3436,4120,0.22211688016013686,1,0,cross_race,0,0,0,0,0.4024323935156929,0.2380039416756093
3436,6867,0.22211688016013686,1,0,cross_race,0,0,0,0,0.4024323935156929,0.2380039416756093
1459,3967,0.08524053745639298,0,1,cross_race,0,0,0,0,0.21159652252918626,0.01226415094339628
1459,6329,0.08524053745639298,0,1,cross_race,0,0,0,0,0.21159652252918626,0.01226415094339628
1459,5592,0.08524053745639304,0,1,cross_race,0,0,0,0,0.21159652252918626,0.029815472483899597
1459,5401,0.17048107491278608,0,1,cross_race,0,0,0,0,0.21159652252918626,0.037426820043725995
2172,4902,0.0,1,0,cross_race,0,0,0,0,0.1848656703415953,0.01018080824510148
6407,6634,0.3278162629567217,0,1,cross_race,0,0,0,0,0.23540306999978144,0.056468844104043625
856,2493,0.0,0,1,cross_race,0,0,0,0,0.2907057036045531,0.4653905657010469
856,2544,0.08524053745639304,0,1,cross_race,0,0,0,0,0.2907057036045531,0.42908800647165835
6008,6546,0.0,0,1,cross_race,0,1,1,0,0.0669411282684359,0.106611410760028
2544,3816,0.0,1,0,cross_race,0,0,0,0,0.42908800647165835,0.25440314437516454
2544,6160,0.08524053745639304,1,0,cross_race,0,0,0,0,0.42908800647165835,0.2907057036045531
5761,6634,0.0,0,1,cross_race,0,0,0,0,0.2382498941493303,0.056468844104043625
4813,6954,0.08524053745639304,1,0,cross_race,0,1,1,0,0.07395582678730839,0.06607905930291869
3122,3247,0.08524053745639304,0,1,cross_race,0,0,0,0,0.10087907448530375,0.3258391086648871
3122,3990,0.20510962733674362,0,1,cross_race,0,0,0,0,0.10087907448530375,0.24298984416781338
4145,4187,0.22211688016013686,0,1,cross_race,0,1,1,0,0.06607905930291869,0.17577476125068614
3266,3366,0.0,0,1,cross_race,0,0,0,0,0.01018080824510148,0.1848656703415953
3266,6177,0.0,0,1,cross_race,0,0,0,0,0.01018080824510148,0.1848656703415953
3266,3317,0.08524053745639293,0,1,cross_race,1,0,0,1,0.01018080824510148,0.2357787547029555
3564,4785,0.0,0,1,cross_race,0,0,0,0,0.25440314437516454,0.42908800647165835
3564,4841,0.22211688016013684,0,1,cross_race,0,0,0,0,0.25440314437516454,0.4703400606505419
887,4851,0.22211688016013684,0,1,cross_race,1,1,0,0,0.018593272171253727,0.26156461616045873
